LCLid,cluster,mean_daily_consumption,std_consumption,thermal_sensitivity,weekend_bias
MAC000002,2,0.25092998147010803,0.09376303106546402,1.4638437032699585,1.0739989280700684
MAC000003,0,0.3949018120765686,0.24386568367481232,2.301100969314575,0.9874604344367981
MAC000004,1,0.035401541739702225,0.009396003317087889,1.2134953737258911,1.0179519653320312
MAC000005,1,0.09581600874662399,0.029072672128677368,1.5041098594665527,1.0083703994750977
MAC000006,1,0.059021372348070145,0.018240362405776978,1.207563042640686,0.9425392746925354
MAC000007,2,0.19903792440891266,0.07674156129360199,1.2739653587341309,1.1899101734161377
MAC000008,1,0.3636598587036133,0.10077999532222748,1.377798318862915,0.9900892972946167
MAC000009,1,0.1783817857503891,0.03641947731375694,1.3257665634155273,1.0287210941314697
MAC000010,0,0.5496464967727661,0.12051285803318024,1.339903712272644,1.056307077407837
MAC000011,1,0.30688250064849854,0.08883687108755112,1.429865837097168,1.0316065549850464
MAC000012,1,0.04487444832921028,0.044945280998945236,0.9368599057197571,0.9513431191444397
MAC000013,1,0.10899048298597336,0.025494271889328957,1.2675316333770752,0.9993586540222168
MAC000014,1,0.13067235052585602,0.03250565379858017,1.4377024173736572,1.0289288759231567
MAC000015,1,0.22616200149059296,0.09258757531642914,1.4508126974105835,0.9277057647705078
MAC000016,0,0.03081774853169918,0.029317252337932587,5.0,1.0582668781280518
MAC000017,1,0.13203030824661255,0.04479355737566948,1.2546993494033813,1.0410627126693726
MAC000018,1,0.22249750792980194,0.07407250255346298,1.1778513193130493,1.0100641250610352
MAC000019,1,0.12918266654014587,0.045244161039590836,1.3445273637771606,1.055870532989502
MAC000020,1,0.13457505404949188,0.046331580728292465,1.4334169626235962,1.0348783731460571
MAC000021,1,0.4675152599811554,0.121427983045578,1.3942264318466187,0.8275731801986694
MAC000022,0,0.2612754702568054,0.1449444741010666,3.6615498065948486,0.9940091967582703
MAC000023,1,0.2978462278842926,0.11950322985649109,1.6623640060424805,0.9512836337089539
MAC000024,0,0.4287165105342865,0.26882532238960266,4.015507221221924,0.9356967210769653
MAC000025,1,0.0995125025510788,0.023036662489175797,1.0023044347763062,1.0077146291732788
MAC000026,1,0.2592228353023529,0.11189065128564835,1.1677507162094116,0.6877013474702836
MAC000027,2,0.1863698959350586,0.04098645597696304,1.0247783660888672,1.3006281852722168
MAC000028,1,0.0989365503191948,0.046372778713703156,1.9394848346710205,0.9489895105361938
MAC000029,1,0.0699291080236435,0.024867864325642586,1.0422194004058838,1.049892544746399
MAC000030,2,0.23179619014263153,0.1315370500087738,1.9050471782684326,1.478948771953583
MAC000031,2,0.41786670684814453,0.1784009337425232,1.7482932806015015,1.2445980310440063
MAC000032,0,0.26483163237571716,0.1576000452041626,3.524683952331543,1.0185229778289795
MAC000033,1,0.15762096643447876,0.03672207519412041,1.1349828243255615,1.0370330810546875
MAC000034,0,0.563306987285614,0.41663666129112265,5.0,1.0040775537490845
MAC000035,0,0.4688590466976166,0.21443752944469452,2.0679147243499756,0.882140576839447
MAC000036,1,0.055591363459825516,0.009396003317087889,0.8695996403694153,1.0741430521011353
MAC000037,1,0.03081774853169918,0.009396003317087889,0.7210216522216797,0.6877013474702836
MAC000038,2,0.23461821675300598,0.10013023018836975,1.5948203802108765,1.3021249771118164
